tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,38042,8322,7600088,140839,2017-08-01 16:23:56
892177421306343426,32659,6148,7600088,140839,2017-08-01 00:17:27
891815181378084864,24583,4069,7600088,140839,2017-07-31 00:18:03
891689557279858688,41400,8460,7600088,140839,2017-07-30 15:58:51
891327558926688256,39571,9163,7600088,140839,2017-07-29 16:00:24
891087950875897856,19870,3046,7600089,140839,2017-07-29 00:08:17
890971913173991426,11618,2020,7600089,140839,2017-07-28 16:27:12
890729181411237888,64202,18464,7600089,140839,2017-07-28 00:22:40
890609185150312448,27311,4188,7600089,140839,2017-07-27 16:25:51
890240255349198849,31326,7218,7600089,140839,2017-07-26 15:59:51
890006608113172480,30105,7179,7600089,140839,2017-07-26 00:31:25
889880896479866881,27302,4873,7599472,140838,2017-07-25 16:11:53
889665388333682689,47234,9835,7600089,140839,2017-07-25 01:55:32
889638837579907072,26656,4442,7600089,140839,2017-07-25 00:10:02
889531135344209921,14842,2201,7600089,140839,2017-07-24 17:02:04
889278841981685760,24783,5257,7600089,140839,2017-07-24 00:19:32
888917238123831296,28602,4402,7600090,140839,2017-07-23 00:22:39
888804989199671297,25106,4201,7600090,140839,2017-07-22 16:56:37
888554962724278272,19468,3475,7600090,140839,2017-07-22 00:23:06
888078434458587136,21364,3419,7600090,140839,2017-07-20 16:49:33
887705289381826560,29638,5277,7600090,140839,2017-07-19 16:06:48
887517139158093824,45440,11434,7600090,140839,2017-07-19 03:39:09
887473957103951883,67810,17792,7600090,140839,2017-07-19 00:47:34
887343217045368832,33091,10182,7600090,140839,2017-07-18 16:08:03
887101392804085760,30022,5840,7600090,140839,2017-07-18 00:07:08
886983233522544640,34525,7611,7600090,140839,2017-07-17 16:17:36
886736880519319552,11839,3213,7600090,140839,2017-07-16 23:58:41
886680336477933568,22019,4370,7600090,140839,2017-07-16 20:14:00
886366144734445568,20807,3133,7600090,140839,2017-07-15 23:25:31
886267009285017600,116,4,7600090,140839,2017-07-15 16:51:35
886258384151887873,27488,6156,7600090,140839,2017-07-15 16:17:19
886054160059072513,0,105,7600090,140839,2017-07-15 02:45:48
885984800019947520,32049,6641,7600090,140839,2017-07-14 22:10:11
885528943205470208,35329,6297,7600090,140839,2017-07-13 15:58:47
885518971528720385,20063,3681,7600090,140839,2017-07-13 15:19:09
885311592912609280,0,18173,7600090,140839,2017-07-13 01:35:06
885167619883638784,21535,4294,7600090,140839,2017-07-12 16:03:00
884925521741709313,75997,17878,7600089,140839,2017-07-12 00:01:00
884876753390489601,27424,5496,7600089,140839,2017-07-11 20:47:12
884562892145688576,23865,4597,7600089,140839,2017-07-11 00:00:02
884441805382717440,26507,5543,7600089,140839,2017-07-10 15:58:53
884247878851493888,71717,20084,7600089,140839,2017-07-10 03:08:17
884162670584377345,19986,2926,7600089,140839,2017-07-09 21:29:42
883838122936631299,21516,3379,7600089,140839,2017-07-09 00:00:04
883482846933004288,45087,9734,7600089,140839,2017-07-08 00:28:19
883360690899218434,22283,3631,7600089,140839,2017-07-07 16:22:55
883117836046086144,36513,6538,7600089,140839,2017-07-07 00:17:54
882992080364220416,23528,3846,7600089,140839,2017-07-06 15:58:11
882762694511734784,27798,4818,7600089,140839,2017-07-06 00:46:41
882627270321602560,27439,5967,7600089,140839,2017-07-05 15:48:34
882268110199369728,44151,11368,7600089,140839,2017-07-04 16:01:23
882045870035918850,28845,4870,7600090,140839,2017-07-04 01:18:17
881906580714921986,23890,3327,7600090,140839,2017-07-03 16:04:48
881666595344535552,49701,10461,7600091,140839,2017-07-03 00:11:11
881633300179243008,124,7,7600091,140839,2017-07-02 21:58:53
881536004380872706,48555,15637,7600091,140839,2017-07-02 15:32:16
881268444196462592,22683,5078,7600091,140839,2017-07-01 21:49:04
880935762899988482,16717,2733,7600091,140839,2017-06-30 23:47:07
880872448815771648,20896,3743,7600091,140839,2017-06-30 19:35:32
880465832366813184,28036,6158,7600091,140839,2017-06-29 16:39:47
880221127280381952,26579,4134,7600091,140839,2017-06-29 00:27:25
880095782870896641,27144,4272,7600091,140839,2017-06-28 16:09:20
879862464715927552,21931,3438,7600091,140839,2017-06-28 00:42:13
879674319642796034,306,10,7600091,140839,2017-06-27 12:14:36
879492040517615616,23019,3124,7600091,140839,2017-06-27 00:10:17
879415818425184262,104052,43410,7600091,140839,2017-06-26 19:07:24
879376492567855104,16486,3061,7600091,140839,2017-06-26 16:31:08
879130579576475649,0,6705,7600091,140839,2017-06-26 00:13:58
879050749262655488,22163,4633,7600091,140839,2017-06-25 18:56:45
879008229531029506,18655,2649,7600091,140839,2017-06-25 16:07:47
878776093423087618,19075,4053,7600092,140839,2017-06-25 00:45:22
878604707211726852,29736,7075,7600092,140839,2017-06-24 13:24:20
878404777348136964,0,1268,7600092,140839,2017-06-24 00:09:53
878316110768087041,0,6535,7600092,140839,2017-06-23 18:17:33
878281511006478336,7614,1268,7600092,140839,2017-06-23 16:00:04
878057613040115712,41338,6705,7600092,140839,2017-06-23 01:10:23
877736472329191424,78379,18755,7600092,140839,2017-06-22 03:54:17
877611172832227328,0,79,7600092,140839,2017-06-21 19:36:23
877556246731214848,22355,3745,7600092,140839,2017-06-21 15:58:08
877316821321428993,26929,5093,7600092,140839,2017-06-21 00:06:44
877201837425926144,26677,5491,7600092,140839,2017-06-20 16:29:50
876838120628539392,20348,3284,7600092,140839,2017-06-19 16:24:33
876537666061221889,23136,4565,7600092,140839,2017-06-18 20:30:39
876484053909872640,18454,2362,7600093,140839,2017-06-18 16:57:37
876120275196170240,27477,4617,7600093,140839,2017-06-17 16:52:05
875747767867523072,24801,4220,7600093,140839,2017-06-16 16:11:53
875144289856114688,21586,4853,7600093,140839,2017-06-15 00:13:52
875097192612077568,27000,5966,7600093,140839,2017-06-14 21:06:43
875021211251597312,25080,4653,7600093,140839,2017-06-14 16:04:48
874680097055178752,27382,4577,7600093,140839,2017-06-13 17:29:20
874434818259525634,0,14523,7600093,140839,2017-06-13 01:14:41
874296783580663808,25666,4048,7600094,140839,2017-06-12 16:06:11
874057562936811520,22317,3907,7600094,140839,2017-06-12 00:15:36
874012996292530176,34060,10268,7600094,140839,2017-06-11 21:18:31
873580283840344065,23865,3896,7600094,140839,2017-06-10 16:39:04
873337748698140672,0,1565,7600094,140839,2017-06-10 00:35:19
